                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     91,                0.67958,                0.41172,                 1.0768,                 0.9645,                 0.9236,                0.96507,                0.55705,                 1.4233,                0.54214,                 1.8124,              0.0001211,              0.0001211,              0.0001211
                     92,                0.66008,                0.37219,                  1.046,                0.96052,                0.92084,                0.95388,                0.54269,                 1.4622,                0.55682,                 1.8814,              0.0001101,              0.0001101,              0.0001101
                     93,                0.66045,                0.36327,                 1.0488,                0.96636,                0.92981,                0.96512,                0.56004,                 1.4516,                0.53981,                 1.8793,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     94,                0.64955,                0.35805,                 1.0438,                0.96962,                0.91964,                  0.957,                0.55209,                 1.4455,                0.55024,                 1.8755,             8.8102e-05,             8.8102e-05,             8.8102e-05
                     95,                0.62818,                0.34221,                 1.0277,                0.95439,                0.92503,                0.95447,                 0.5633,                 1.4381,                0.55829,                 1.8888,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     96,                0.62552,                0.34335,                 1.0384,                0.94983,                0.93859,                  0.963,                0.57262,                 1.4199,                0.51224,                 1.8768,             6.6105e-05,             6.6105e-05,             6.6105e-05
                     97,                0.61883,                0.34173,                 1.0254,                0.98146,                0.91375,                0.96535,                0.56761,                 1.4253,                0.51762,                 1.8742,             5.5106e-05,             5.5106e-05,             5.5106e-05
                     98,                0.60579,                0.33668,                 1.0265,                0.98044,                0.91892,                0.96548,                 0.5662,                 1.4283,                0.53142,                 1.8755,             4.4107e-05,             4.4107e-05,             4.4107e-05
                     99,                0.59099,                0.33034,                 1.0305,                0.98183,                0.91225,                0.96665,                0.56742,                 1.4286,                0.53179,                 1.8791,             3.3108e-05,             3.3108e-05,             3.3108e-05
                    100,                0.60454,                0.33287,                 1.0455,                0.98047,                0.91242,                0.96886,                0.56422,                 1.4367,                0.53738,                  1.894,             2.2109e-05,             2.2109e-05,             2.2109e-05
