                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     82,                0.69205,                0.49279,                 1.0542,                0.98049,                0.95934,                0.97243,                 0.5692,                 1.3614,                0.47882,                  1.918,              0.0001981,              0.0001981,              0.0001981
                     83,                0.72003,                0.49068,                  1.081,                0.98424,                0.95562,                0.96557,                0.56206,                 1.3547,                0.47274,                 1.9189,              0.0001882,              0.0001882,              0.0001882
                     84,                0.69646,                0.48574,                 1.0699,                0.98245,                0.95352,                0.96122,                 0.5514,                 1.3521,                0.46765,                 1.8961,              0.0001783,              0.0001783,              0.0001783
                     85,                0.72068,                 0.5114,                 1.0866,                0.96343,                0.96126,                0.96555,                0.55953,                 1.3379,                0.46946,                 1.8907,              0.0001684,              0.0001684,              0.0001684
                     86,                0.69947,                0.46084,                 1.0655,                0.96483,                 0.9615,                0.96144,                0.56244,                 1.3453,                0.47738,                  1.898,              0.0001585,              0.0001585,              0.0001585
                     87,                 0.6777,                0.46047,                 1.0645,                0.96656,                0.95604,                 0.9741,                0.56511,                 1.3653,                0.46726,                 1.9373,              0.0001486,              0.0001486,              0.0001486
                     88,                0.69946,                0.48289,                 1.0774,                0.97708,                0.95516,                 0.9792,                0.57203,                  1.374,                0.46974,                 1.9265,              0.0001387,              0.0001387,              0.0001387
                     89,                0.68852,                0.48048,                 1.0683,                0.97118,                0.95433,                0.97584,                0.57316,                 1.3545,                0.47477,                 1.8939,              0.0001288,              0.0001288,              0.0001288
                     90,                0.68963,                0.45824,                 1.0557,                0.97906,                0.95425,                0.97513,                0.56239,                  1.373,                0.47259,                 1.9287,              0.0001189,              0.0001189,              0.0001189
                     91,                0.65635,                 0.3934,                  1.079,                 0.9618,                0.95829,                0.97185,                0.55293,                 1.3631,                0.46896,                 1.9226,               0.000109,               0.000109,               0.000109
                     92,                0.59203,                0.34973,                 1.0256,                0.96165,                 0.9585,                0.97203,                0.55982,                  1.354,                0.46662,                 1.9474,               9.91e-05,               9.91e-05,               9.91e-05
                     93,                  0.587,                0.32747,                 1.0253,                0.96544,                0.95675,                0.97215,                0.55931,                 1.3648,                0.47834,                 1.9408,               8.92e-05,               8.92e-05,               8.92e-05
                     94,                0.58089,                0.32204,                 1.0092,                0.96688,                0.95441,                0.97156,                 0.5653,                   1.36,                 0.4746,                 1.9134,               7.93e-05,               7.93e-05,               7.93e-05
                     95,                0.57753,                0.32073,                 1.0176,                 0.9747,                0.95429,                0.97315,                0.56688,                 1.3669,                 0.4788,                 1.9199,               6.94e-05,               6.94e-05,               6.94e-05
                     96,                0.56136,                0.31471,                 1.0045,                0.97518,                0.95383,                0.97132,                0.56623,                 1.3773,                0.47673,                 1.9502,               5.95e-05,               5.95e-05,               5.95e-05
                     97,                0.54953,                0.30739,                 1.0107,                0.96795,                0.95396,                0.96889,                0.56221,                 1.3805,                0.47736,                 1.9541,               4.96e-05,               4.96e-05,               4.96e-05
                     98,                0.55325,                0.30967,                 1.0244,                0.96811,                0.95379,                0.96867,                0.56166,                 1.3785,                0.48377,                 1.9611,               3.97e-05,               3.97e-05,               3.97e-05
                     99,                   0.56,                0.30722,                0.99871,                 0.9759,                0.95372,                0.97125,                  0.559,                 1.3775,                0.47985,                 1.9702,               2.98e-05,               2.98e-05,               2.98e-05
                    100,                 0.5532,                0.30387,                 1.0045,                0.97627,                0.95373,                0.97279,                0.56252,                 1.3746,                0.47584,                 1.9622,               1.99e-05,               1.99e-05,               1.99e-05
